                             中国金融期货交易所结算会员标准合约结算明细表

结算会员代码：0003  结算会员名称：结算(0003)                                    结算日期：20250102
结算会员号  客户编码  合约                结算价  买开成交量  买平成交量  买成交量合计  卖开成交量  卖平成交量  卖成交量合计    买入成交额    卖出成交额  买持仓量合计  卖持仓量合计    交易保证金      当日盈亏        手续费
0003      00110202  TS2506               103.032          0           0             0           0           0             0          0.00          0.00             1             0      10303.20        480.00          0.00
0003      00110202  MO2501-P-6400        640.400          0           0             0           0           1             1          0.00      61720.00             3             0          0.00          0.00         15.45
0109      04956665  v2505-C-5500         117.000          0           0             0           0           0             0          0.00          0.00             0             2       2427.40          0.00          0.00
0103      85035014  ru2505             17700.000          0           0             0           0           0             0          0.00          0.00             6             0      84960.00      -6600.00          0.00
0109      04956665  j2509               1894.500          0           0             0           0           0             0          0.00          0.00             1             0      37890.00       1000.00          0.00
0188      99839037  SA505               1446.000          0           0             0           0           0             0          0.00          0.00            25             0      86760.00       6000.00          0.00
0003      00110202  T2503                109.195          0           0             0           0           0             0          0.00          0.00             3             0      65517.00       8550.00          0.00
0006      03238997  si2505             11185.000          0           0             0           0           0             0          0.00          0.00             3             0      15099.75        150.00          0.00
0109      04956665  c2505               2234.000          0           0             0           0           0             0          0.00          0.00            26             0      40658.80       1040.00          0.00
0109      04956665  i2502-P-790           15.800          0           0             0           0           0             0          0.00          0.00             0             2      11117.00          0.00          0.00
0103      85035014  rb2505P3400          172.500          0           0             0           0           0             0          0.00          0.00            13             0          0.00          0.00          0.00
0109      04956665  i2502-P-800           21.800          0           0             0           0           0             0          0.00          0.00             4             0          0.00          0.00          0.00
0109      04956665  i2505                781.000          0           0             0           0           0             0          0.00          0.00             0            10      85910.00      -4000.00          0.00
0103      85035014  ni2505            125310.000          0           0             0           0           0             0          0.00          0.00             1             0      15037.20       -180.00          0.00
0003      00110202  TL2503               119.900          0           0             0           0           2             2          0.00    2389300.00             5             0     209825.00      66900.00          6.60
0188      99839037  OI505               9074.000          0           0             0           0           0             0          0.00          0.00            12             0      76221.60       7320.00          0.00
0109      04956665  l2505               8172.000          0           0             0           0           0             0          0.00          0.00             0             5      14301.00       -375.00          0.00
0188      99839037  PK505               7978.000          0           0             0           0           0             0          0.00          0.00             8             0      25529.60        640.00          0.00
0103      85035014  zn2503             25125.000          0           0             0           0           0             0          0.00          0.00             0             1      11306.25        550.00          0.00
0109      04956665  i2502-C-800            8.800          0           0             0           0           0             0          0.00          0.00             0             4      28891.00          0.00          0.00
0103      85035014  hc2505              3422.000          0           0             0           0           0             0          0.00          0.00             0             3       7186.20         30.00          0.00
0003      00110202  TS2503               102.990          0           0             0           0           0             0          0.00          0.00             0             8          0.00      -3520.00          0.00
8103      85035014  sc2503               559.500          0           0             0           0           0             0          0.00          0.00             1             0      50355.00       8300.00          0.00
0103      85035014  ru2505P18500        1283.000          0           0             0           0           0             0          0.00          0.00             0             3      80970.00          0.00          0.00
0188      99839037  UR505               1706.000          0           1             1           0           0             0      33980.00          0.00             0            12      32755.20       1180.00          3.50
0103      85035014  rb2505              3311.000          0           0             0           0           0             0          0.00          0.00             0            17      39400.90        170.00          0.00
0006      03238997  si2502-C-13200         1.000          0           0             0           0           0             0          0.00          0.00             7             0          0.00          0.00          0.00
0003      00110202  TL2506               119.450          0           0             0           0           0             0          0.00          0.00             2             0      83615.00      20200.00          0.00
0103      85035014  ss2505             13000.000          0           0             0           0           0             0          0.00          0.00             0             1       4550.00        525.00          0.00
0188      99839037  FG509               1378.000          0           0             0           0           0             0          0.00          0.00             0             5      16536.00          0.00          0.00
0003      00110202  MO2503-P-6200        632.000          0           0             0           0           0             0          0.00          0.00             1             0          0.00          0.00          0.00
0103      85035014  ag2502              7597.000          0           0             0           0           0             0          0.00          0.00             3             0      41023.80       4410.00          0.00
0188      99839037  SR505               6003.000          0           0             0           0           1             1          0.00      60020.00            24             0     100850.40      13740.00          3.09
0188      99839037  RM505               2423.000          0           0             0           0           0             0          0.00          0.00             6             0      10176.60       1500.00          0.00
0109      04956665  p2505               8648.000          0           0             0           0           0             0          0.00          0.00             5             0      34592.00      -1400.00          0.00
0188      99839037  TA505               4962.000          0           0             0           0           0             0          0.00          0.00            23             0      39944.10      10350.00          0.00
0103      85035014  bu2503              3703.000          0           0             0           0           0             0          0.00          0.00             2             0       6665.40        420.00          0.00
0109      04956665  j2505               1821.500          0           0             0           0           0             0          0.00          0.00             0             3      72860.00      -1200.00          0.00
0006      03238997  lc2505             77860.000          0           0             0           0           0             0          0.00          0.00             4             0      37372.80       2000.00          0.00
8103      85035014  ec2504              1681.900          0           0             0           0           0             0          0.00          0.00             3             0      45411.30       6180.00          0.00
0109      04956665  y2505               7812.000          0           0             0           0           0             0          0.00          0.00             3             0      16405.20       2940.00          0.00
0188      99839037  PK503C8000            80.000          0           0             0           0           0             0          0.00          0.00             2             0          0.00          0.00          0.00
0188      99839037  PK503C8200            32.000          0           0             0           0           0             0          0.00          0.00             4             0          0.00          0.00          0.00
0188      99839037  SF505               6292.000          0           0             0           0           0             0          0.00          0.00             4             0      11325.60        960.00          0.00
0103      85035014  au2504               624.160          0           0             0           0           0             0          0.00          0.00             0             2     149798.40     -11440.00          0.00
0109      04956665  v2505               5264.000          0           0             0           0           0             0          0.00          0.00            10             0       7954.60      -1450.00          0.00
0109      04956665  eg2505              4852.000          0           0             0           0           0             0          0.00          0.00             8             0      31052.80       1280.00          0.00
0109      04956665  p2509               8220.000          0           0             0           0           0             0          0.00          0.00             0             2          0.00        440.00          0.00
0188      99839037  SA509               1534.000          0           0             0           0           0             0          0.00          0.00             0             1       3681.60       -260.00          0.00
0003      00110202  MO2501-C-6300         21.000          0           0             0           0           0             0          0.00          0.00             0             2      73765.08          0.00          0.00
0109      04956665  cs2505              2587.000          0           0             0           0           0             0          0.00          0.00            11             0      17074.20       -110.00          0.00
0188      99839037  AP510               7451.000          0           0             0           0           0             0          0.00          0.00             1             0       7451.00        540.00          0.00
